"","country","pop","gdpPercap","continent","tonnes_per_capita_2007"
"1","Algeria",33333216,6223.367465,"Oceania",0.380591215
"2","Argentina",40301927,12779.37964,"Oceania",0.589127111
"3","Australia",20434176,34435.36744,"Oceania",1.975959835
"4","Austria",8199783,36126.4927,"Oceania",1.61183511
"5","Bangladesh",150448339,1391.253792,"Oceania",0.03154276
"6","Brazil",190010647,9065.800825,"Oceania",0.525743489
"7","Bulgaria",7322858,10680.79282,"Oceania",0.692317942
"8","Canada",33390141,36319.23501,"Oceania",3.118106515
"9","Chile",16284741,13171.63885,"Oceania",0.96964244
"10","China",1318683096,4959.114854,"Oceania",0.274536179
"11","Colombia",44227550,7006.580419,"Oceania",0.240298463
"12","Denmark",5468120,35278.41874,"Oceania",1.695516472
"13","Ecuador",13755680,6873.262326,"Oceania",0.642814177
"14","Egypt",80264543,5581.180998,"Oceania",0.397184503
"15","Finland",5238460,33207.0844,"Oceania",2.008818752
"16","France",61083916,30470.0167,"Oceania",1.479151309
"17","Germany",82400996,32170.37442,"Oceania",1.363257976
"18","Greece",10706290,27538.41188,"Oceania",1.928086856
"19","Hong Kong, China",6980412,39724.97867,"Oceania",2.321354968
"20","Hungary",9956108,18008.94444,"Oceania",0.770320591
"21","Iceland",301931,36180.78919,"Oceania",3.400786992
"22","India",1110396331,2452.210407,"Oceania",0.109479648
"23","Indonesia",223547000,3540.651564,"Oceania",0.24242808
"24","Iran",69453570,11605.71449,"Oceania",1.138649009
"25","Ireland",4109086,40675.99635,"Oceania",2.194228359
"26","Italy",58147733,28569.7197,"Oceania",1.411440575
"27","Japan",127467972,31656.06806,"Oceania",1.812484758
"28","Korea, Rep.",49044790,23348.13973,"Oceania",2.279249299
"29","Kuwait",2505559,47306.98978,"Oceania",5.572449422
"30","Malaysia",24821286,12451.6558,"Oceania",0.815091429
"31","Mexico",108700891,11977.57496,"Oceania",0.818101803
"32","Netherlands",16570613,36797.93332,"Oceania",2.795082708
"33","New Zealand",4115771,25185.00911,"Oceania",1.705707389
"34","Norway",4627926,49357.19017,"Oceania",2.154276479
"35","Pakistan",169270617,2605.94758,"Oceania",0.116657274
"36","Peru",28674757,7408.905561,"Oceania",0.251232706
"37","Philippines",91077287,3190.481016,"Oceania",0.157481418
"38","Poland",38518241,15389.92468,"Oceania",0.63297069
"39","Portugal",10642836,20509.64777,"Oceania",1.359078344
"40","Romania",22276056,10808.47561,"Oceania",0.477618593
"41","Saudi Arabia",27601038,21654.83194,"Oceania",3.768907884
"42","Singapore",4553009,47143.17964,"Oceania",10.34192721
"43","Slovak Republic",5447502,18678.31435,"Oceania",0.761557687
"44","South Africa",43997828,9269.657808,"Oceania",0.5280535
"45","Spain",40448191,28821.0637,"Oceania",1.767247811
"46","Sweden",9031088,33859.74835,"Oceania",1.606221949
"47","Switzerland",7554661,37506.41907,"Oceania",1.503683319
"48","Taiwan",23174294,28718.27684,"Oceania",2.296677545
"49","Thailand",65068149,7458.396327,"Oceania",0.56337803
"50","Turkey",71158647,8458.276384,"Oceania",0.435654911
"51","United Kingdom",60776238,33203.26128,"Oceania",1.30125267
"52","United States",301139947,42951.65309,"Oceania",3.117270453
"53","Venezuela",26084662,11415.80569,"Oceania",1.087567702
